Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
222,Moritz Jenz,VfL Wolfsburg,1,0,1745,22,GER
222,Nelson Weiper,1. FSV Mainz 05,1,0,121,5,GER
222,Norman Theuerkauf,1. FC Heidenheim 1846,1,0,1257,25,GER
222,Noussair Mazraoui,Bayern München,1,0,1197,19,MAR
222,Rani Khedira,1. FC Union Berlin,1,0,1350,20,GER
222,Rasmus Carstensen,FC Köln,1,0,1658,23,DEN
222,Samuel Bamba,Borussia Dortmund,1,0,45,2,GER
222,Sebastiaan Bornauw,VfL Wolfsburg,1,0,1431,20,BEL
222,Sebastian Polter,SV Darmstadt,1,0,444,9,GER
222,Stefan Lainer,Borussia Mönchengladbach,1,0,749,15,AUT
222,Stefan Schimmer,1. FC Heidenheim 1846,1,0,141,16,GER
222,Waldemar Anton,VfB Stuttgart,1,0,2888,33,GER
222,Willi Orban,RB Leipzig,1,0,1583,19,HUN
222,Xaver Schlager,RB Leipzig,1,0,2482,29,AUT
