Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Patrick Osterhage,VfL Bochum,2,6.94,1.4,13.6,24,1,0,0,0,0,0,13,0.6,0.5,1,0.4,9,1.3,27,1.4,29
Robin Koch,Eintracht Frankfurt,2,6.94,3.1,20.8,31,0,0,0,0,0,0,4,0.1,0.5,6,0.8,24,1.1,32,4.4,135
Oliver Baumann,TSG Hoffenheim,0,6.94,2.4,0.5,34,1,4.3,146,2,1.9,66,2,0.1,0.5,0.2,0.1,0,0.84,0,0.9,31
Michael Zetterer,SV Werder Bremen,0,6.94,0.1,0.5,27,0,3.4,93,6,1.4,37,3,0.1,0.5,0.2,0.1,0,0.84,0,0.6,17
Robert Skov,TSG Hoffenheim,3,6.93,1.8,21.9,25,4,0,0,0,0,0,23,1.6,3,1,0.3,4,0.7,10,1.6,22
Josip Juranovic,1. FC Union Berlin,0,6.92,1.4,25,21,2,0,0,0,0,0,39,2.7,3,1,0.2,3,0.8,12,1.7,25
Felix Agu,SV Werder Bremen,0,6.92,0.9,0.5,24,0,0,0,0,0,0,7,0.4,2,2,0.4,7,0.7,13,2.1,38
Philipp Mwene,1. FSV Mainz 05,1,6.91,1.5,37.5,23,2,0,0,0,0,0,22,1,4,1,0.1,3,0.8,17,1.8,40
Patrik Schick,Bayer 04 Leverkusen,7,6.91,6,32.5,20,0,0,0,0,0,0,9,0.8,2,5,0.1,0,0.1,1,0.6,7
Senne Lynen,SV Werder Bremen,0,6.91,0.4,16.7,32,3,0,0,0,0,0,15,0.8,3,0.2,0.4,8,2.1,41,2.8,55
Anthony Losilla,VfL Bochum,1,6.91,2.3,21.4,31,2,0,0,0,0,0,19,0.7,2,1,0.3,8,0.9,25,1.7,49
Nico Elvedi,Borussia Mönchengladbach,2,6.91,1.6,38.9,30,1,0,0,0,0,0,3,0.1,0.5,2,0.9,25,1.6,43,5.2,143
John Anthony Brooks,TSG Hoffenheim,2,6.91,2.6,36.4,21,0,0,0,0,0,0,3,0.2,0.5,2,1,17,1.6,27,6.2,106
Fredrik Jensen,FC Augsburg,2,6.9,0.9,35.7,22,4,0,0,0,0,0,32,2.1,5,0.2,0.1,1,0.8,12,1.3,20
Robin Hack,Borussia Mönchengladbach,10,6.9,3.9,51.2,29,2,0,0,0,0,0,25,1.7,3,4,0.1,0,0.9,14,0.9,14
Florian Neuhaus,Borussia Mönchengladbach,4,6.89,4.3,41,25,2,0,0,0,0,0,19,1.4,4,4,0.4,6,1,14,0.6,8
Robin Knoche,1. FC Union Berlin,1,6.89,1.2,50,24,0,0,0,0,0,0,3,0.1,0.5,2,0.9,19,0.6,13,3.3,70
Kevin Mbabu,FC Augsburg,0,6.88,0.1,25,25,2,0,0,0,0,0,20,0.9,3,0.2,0.4,9,1.1,24,1.8,42
Justin Njinmah,SV Werder Bremen,6,6.88,4.9,42.4,24,2,0,0,0,0,0,13,1.2,4,4,0.1,1,0.2,2,0.4,5
Maxence Lacroix,VfL Wolfsburg,4,6.88,0.8,66.7,28,1,0,0,0,0,0,8,0.3,0.5,0.2,0.5,12,0.9,24,4.4,116
